Status	Bin_ID	Level	Completeness	Contamination	Strain_heterogeneity	Reason
PASS	GCA_000154385.1_ASM15438v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_000162015.1_ASM16201v1_genomic	genome_fna	98.19	0.00	0.00	-
PASS	GCA_000166035.1_ASM16603v1_genomic	genome_fna	97.96	0.00	0.00	-
PASS	GCA_000209855.1_ASM20985v1_genomic	genome_fna	99.09	0.00	0.00	-
PASS	GCA_000210735.1_ASM21073v1_genomic	genome_fna	98.64	0.00	0.00	-
PASS	GCA_000437595.1_MGS74_genomic	genome_fna	99.13	1.17	0.00	-
PASS	GCA_001406255.1_14207_7_93_genomic	genome_fna	98.64	0.00	0.00	-
PASS	GCA_001406355.1_13414_6_53_genomic	genome_fna	99.32	0.00	0.00	-
PASS	GCA_001916575.1_ASM191657v1_genomic	genome_fna	99.30	3.61	0.00	-
PASS	GCA_002160175.1_ASM216017v1_genomic	genome_fna	98.64	0.82	0.00	-
PASS	GCA_002160895.1_ASM216089v1_genomic	genome_fna	98.64	0.68	0.00	-
PASS	GCA_002160915.1_ASM216091v1_genomic	genome_fna	98.64	0.14	0.00	-
PASS	GCA_002161315.1_ASM216131v1_genomic	genome_fna	98.64	0.68	0.00	-
PASS	GCA_002161515.1_ASM216151v1_genomic	genome_fna	98.64	1.50	0.00	-
PASS	GCA_002315015.1_ASM231501v1_genomic	genome_fna	98.64	0.68	0.00	-
PASS	GCA_002320085.1_ASM232008v1_genomic	genome_fna	96.23	0.00	0.00	-
PASS	GCA_002420865.1_ASM242086v1_genomic	genome_fna	97.09	1.68	0.00	-
PASS	GCA_002549755.1_ASM254975v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_002549775.1_ASM254977v1_genomic	genome_fna	99.32	1.95	0.00	-
PASS	GCA_002549855.1_ASM254985v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_002549895.2_ASM254989v2_genomic	genome_fna	100.00	0.34	0.00	-
PASS	GCA_002549905.1_ASM254990v1_genomic	genome_fna	100.00	1.42	0.00	-
PASS	GCA_002549945.1_ASM254994v1_genomic	genome_fna	100.00	0.68	0.00	-
PASS	GCA_002549975.1_ASM254997v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_002549985.1_ASM254998v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_002550015.1_ASM255001v1_genomic	genome_fna	99.32	0.00	0.00	-
PASS	GCA_002550035.1_ASM255003v1_genomic	genome_fna	100.00	0.34	0.00	-
PASS	GCA_002550045.1_ASM255004v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_002586945.1_ASM258694v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_002734145.1_ASM273414v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003287405.1_ASM328740v1_genomic	genome_fna	99.32	0.00	0.00	-
PASS	GCA_003287415.1_ASM328741v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003287455.1_ASM328745v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003287475.1_ASM328747v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003287485.1_ASM328748v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003287495.1_ASM328749v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003287505.1_ASM328750v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003293635.1_ASM329363v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003312465.1_ASM331246v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003324115.1_ASM332411v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003324185.1_ASM332418v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003433865.1_ASM343386v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003433905.1_ASM343390v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003433995.1_ASM343399v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003434015.1_ASM343401v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003434125.1_ASM343412v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003434135.1_ASM343413v1_genomic	genome_fna	99.32	0.00	0.00	-
PASS	GCA_003434165.1_ASM343416v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003434175.1_ASM343417v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003465525.1_ASM346552v1_genomic	genome_fna	99.32	0.00	0.00	-
PASS	GCA_003467805.1_ASM346780v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003478405.1_ASM347840v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003482185.1_ASM348218v1_genomic	genome_fna	99.32	0.00	0.00	-
PASS	GCA_003603005.1_ASM360300v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003603345.1_ASM360334v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_003604105.1_ASM360410v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_004167405.1_ASM416740v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_008662345.1_ASM866234v1_genomic	genome_fna	96.60	0.00	0.00	-
PASS	GCA_008671395.1_ASM867139v1_genomic	genome_fna	97.28	0.00	0.00	-
PASS	GCA_008672345.1_ASM867234v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_008672495.1_ASM867249v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_008672695.1_ASM867269v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_008680095.1_ASM868009v1_genomic	genome_fna	99.09	0.00	0.00	-
PASS	GCA_008681055.1_ASM868105v1_genomic	genome_fna	99.32	0.68	0.00	-
PASS	GCA_009679665.1_ASM967966v1_genomic	genome_fna	100.00	0.14	0.00	-
PASS	GCA_009679695.1_ASM967969v1_genomic	genome_fna	100.00	0.14	0.00	-
PASS	GCA_009679705.1_ASM967970v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679715.1_ASM967971v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679755.1_ASM967975v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679775.1_ASM967977v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679795.1_ASM967979v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679855.1_ASM967985v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679865.1_ASM967986v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679895.1_ASM967989v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679905.1_ASM967990v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679915.1_ASM967991v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679955.1_ASM967995v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679965.1_ASM967996v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009679995.1_ASM967999v1_genomic	genome_fna	100.00	0.14	0.00	-
PASS	GCA_009680005.1_ASM968000v1_genomic	genome_fna	100.00	0.14	0.00	-
PASS	GCA_009680015.1_ASM968001v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009680055.1_ASM968005v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009680075.1_ASM968007v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009680085.1_ASM968008v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_009680105.1_ASM968010v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_010509575.1_ASM1050957v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_014287915.1_ASM1428791v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_014868985.1_ASM1486898v1_genomic	genome_fna	100.00	0.68	0.00	-
PASS	GCA_014869095.1_ASM1486909v1_genomic	genome_fna	100.00	0.68	0.00	-
PASS	GCA_017377535.1_ASM1737753v1_genomic	genome_fna	100.00	0.79	0.00	-
PASS	GCA_017377545.1_ASM1737754v1_genomic	genome_fna	100.00	0.68	0.00	-
PASS	GCA_017377595.1_ASM1737759v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_017377625.1_ASM1737762v1_genomic	genome_fna	99.32	0.00	0.00	-
PASS	GCA_017377665.1_ASM1737766v1_genomic	genome_fna	100.00	0.34	0.00	-
PASS	GCA_017889475.1_ASM1788947v1_genomic	genome_fna	97.28	0.82	0.00	-
PASS	GCA_018364195.1_ASM1836419v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_018367245.1_ASM1836724v1_genomic	genome_fna	100.00	0.00	0.00	-
PASS	GCA_018367795.1_ASM1836779v1_genomic	genome_fna	100.00	0.00	0.00	-
